restaurant_id,date,repas,categorie,plat,nutriscore,regime,impact_carbone,style_culinaire,calories_estimees
1371,27/03/2026,midi,Plats,"Truite aux amandes grillées, polenta aux piments d’espelette et courgettes sautées à l’huile d’olive",C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,450
1371,30/03/2026,midi,Plats,"Truite aux amandes grillées, polenta aux piments d’espelette et courgettes sautées à l’huile d’olive",C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,450
1371,31/03/2026,midi,Plats,"Truite aux amandes grillées, polenta aux piments d’espelette et courgettes sautées à l’huile d’olive",C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,450
1371,01/04/2026,midi,Plats,"Truite aux amandes grillées, polenta aux piments d’espelette et courgettes sautées à l’huile d’olive",C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,450
1371,02/04/2026,midi,Plats,"Truite aux amandes grillées, polenta aux piments d’espelette et courgettes sautées à l’huile d’olive",C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,450
1371,03/04/2026,midi,Plats,"Truite aux amandes grillées, polenta aux piments d’espelette et courgettes sautées à l’huile d’olive",C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,450
1282,27/03/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,27/03/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,27/03/2026,midi,Offre généraliste,Sandwich faluche,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,27/03/2026,midi,Offre généraliste,Salade fraîche,A,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,27/03/2026,midi,Offre généraliste,Crudités,C,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,27/03/2026,midi,Offre généraliste,Pasta box,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,27/03/2026,midi,Offre généraliste,Marmite,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,27/03/2026,midi,Offre généraliste,Pâtisseries,D,Végétalien/Base Végétale,Bas,Plats Sucrés,300
1282,27/03/2026,midi,Offre généraliste,Fruits,A,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,80
1282,30/03/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,30/03/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,30/03/2026,midi,Offre généraliste,Sandwich faluche,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,30/03/2026,midi,Offre généraliste,Salade fraîche,A,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,30/03/2026,midi,Offre généraliste,Crudités,C,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,30/03/2026,midi,Offre généraliste,Pasta box,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,30/03/2026,midi,Offre généraliste,Marmite,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,30/03/2026,midi,Offre généraliste,Pâtisseries,D,Végétalien/Base Végétale,Bas,Plats Sucrés,300
1282,30/03/2026,midi,Offre généraliste,Fruits,A,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,80
1282,31/03/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,31/03/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,31/03/2026,midi,Offre généraliste,Sandwich faluche,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,31/03/2026,midi,Offre généraliste,Salade fraîche,A,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,31/03/2026,midi,Offre généraliste,Crudités,C,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,31/03/2026,midi,Offre généraliste,Pasta box,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,31/03/2026,midi,Offre généraliste,Marmite,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,31/03/2026,midi,Offre généraliste,Pâtisseries,D,Végétalien/Base Végétale,Bas,Plats Sucrés,300
1282,31/03/2026,midi,Offre généraliste,Fruits,A,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,80
1282,01/04/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,01/04/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,01/04/2026,midi,Offre généraliste,Sandwich faluche,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,01/04/2026,midi,Offre généraliste,Salade fraîche,A,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,01/04/2026,midi,Offre généraliste,Crudités,C,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,01/04/2026,midi,Offre généraliste,Pasta box,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,01/04/2026,midi,Offre généraliste,Marmite,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,01/04/2026,midi,Offre généraliste,Pâtisseries,D,Végétalien/Base Végétale,Bas,Plats Sucrés,300
1282,01/04/2026,midi,Offre généraliste,Fruits,A,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,80
1282,02/04/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,02/04/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,02/04/2026,midi,Offre généraliste,Sandwich faluche,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,02/04/2026,midi,Offre généraliste,Salade fraîche,A,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,02/04/2026,midi,Offre généraliste,Crudités,C,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,02/04/2026,midi,Offre généraliste,Pasta box,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,02/04/2026,midi,Offre généraliste,Marmite,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,02/04/2026,midi,Offre généraliste,Pâtisseries,D,Végétalien/Base Végétale,Bas,Plats Sucrés,300
1282,02/04/2026,midi,Offre généraliste,Fruits,A,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,80
1282,03/04/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,03/04/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,03/04/2026,midi,Offre généraliste,Sandwich faluche,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,03/04/2026,midi,Offre généraliste,Salade fraîche,A,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,03/04/2026,midi,Offre généraliste,Crudités,C,Végétalien/Base Végétale,Bas,Fraîcheur,150
1282,03/04/2026,midi,Offre généraliste,Pasta box,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,03/04/2026,midi,Offre généraliste,Marmite,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,03/04/2026,midi,Offre généraliste,Pâtisseries,D,Végétalien/Base Végétale,Bas,Plats Sucrés,300
1282,03/04/2026,midi,Offre généraliste,Fruits,A,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,80
1282,06/04/2026,midi,Offre généraliste,Sandwich savoureux,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
1282,06/04/2026,midi,Offre généraliste,Sandwich gourmand,C,Végétalien/Base Végétale,Bas,Cuisine Traditionnelle,250
